"Business Name","Slug","NFC URL","Google Review URL"
"Allure Hair Studio And Spa","allure-hair-studio-and-spa","https://connorgorman.ca/r/allure-hair-studio-and-spa","https://search.google.com/local/writereview?placeid=ChIJqwrJrUar0kwRi3IIFGgQQ9Q"
"Fancy Nails and Beauty Supplies","fancy-nails-and-beauty-supplies","https://connorgorman.ca/r/fancy-nails-and-beauty-supplies","https://search.google.com/local/writereview?placeid=ChIJizJLS-Gr0kwR2bm0TWPTvIc"
"Nice Nails Kingston","nice-nails-kingston","https://connorgorman.ca/r/nice-nails-kingston","https://search.google.com/local/writereview?placeid=ChIJH-DUElGs0kwRlPVRoAI5SAc"
"Ogini's barber shop","oginis-barber-shop","https://connorgorman.ca/r/oginis-barber-shop","https://search.google.com/local/writereview?placeid=ChIJR1HFZQer0kwR7I7sbvd58rk"
"Angel Nails","angel-nails","https://connorgorman.ca/r/angel-nails","https://search.google.com/local/writereview?placeid=ChIJDSZsZgCr0kwR3aTdDm27tE0"
"Cher-Mere Day Spa West End","cher-mere-day-spa-west-end","https://connorgorman.ca/r/cher-mere-day-spa-west-end","https://search.google.com/local/writereview?placeid=ChIJp4Lnlset0kwRSAk4c_c4ukA"
"Cleopatras Nails","cleopatras-nails","https://connorgorman.ca/r/cleopatras-nails","https://search.google.com/local/writereview?placeid=ChIJ9wp--f-q0kwRFFMJXqAjdgg"
"Eastside Barbershop","eastside-barbershop","https://connorgorman.ca/r/eastside-barbershop","https://search.google.com/local/writereview?placeid=ChIJodltdayr0kwRIDV_nTBLCzg"
"Elements Natural Therapies & Spa","elements-natural-therapies-spa","https://connorgorman.ca/r/elements-natural-therapies-spa","https://search.google.com/local/writereview?placeid=ChIJ_ZCidaSt0kwR4Q8uHSeegVQ"
"Fades Jimenez","fades-jimenez","https://connorgorman.ca/r/fades-jimenez","https://search.google.com/local/writereview?placeid=ChIJQ6r7Mp-r0kwR96MtWGSRvc4"
"FootStation Spa 知足乐","footstation-spa","https://connorgorman.ca/r/footstation-spa","https://search.google.com/local/writereview?placeid=ChIJ8XdA4M-r0kwRcaYKP_eaRJQ"
"Glow Spa Kingston","glow-spa-kingston","https://connorgorman.ca/r/glow-spa-kingston","https://search.google.com/local/writereview?placeid=ChIJw8ZLZvKr0kwRxd3U3uTlHGw"
"James Brett Coiffure","james-brett-coiffure","https://connorgorman.ca/r/james-brett-coiffure","https://search.google.com/local/writereview?placeid=ChIJZ9xN7_-q0kwRraqfvHyTYPU"
"Kingston Community Health Centres","kingston-community-health-centres","https://connorgorman.ca/r/kingston-community-health-centres","https://search.google.com/local/writereview?placeid=ChIJTzT4yNyr0kwRQw69P7aB6gc"
"Laura's Lovely Nails & Spa","lauras-lovely-nails-spa","https://connorgorman.ca/r/lauras-lovely-nails-spa","https://search.google.com/local/writereview?placeid=ChIJpaD3t6Wt0kwRNskBQAIRvqk"
"M.P. Nails","m-p-nails","https://connorgorman.ca/r/m-p-nails","https://search.google.com/local/writereview?placeid=ChIJK7hHif-q0kwR2dSQSxnUZ10"
